Name
DIGITAL RIVER INC /DE
CONVERGYS CORP
GEOCITIES
ECLIPSYS CORP
ZVELO INC
SOFTWORKS INC
CYBERIAN OUTPOST INC
MAXTOR CORP
TOWNE SERVICES INC
ECHELON CORP
IENTERTAINMENT NETWORK INC
BROADCAST COM INC
TWEETER HOME ENTERTAINMENT GROUP INC
MIPS TECHNOLOGIES INC
COGNIZANT TECHNOLOGY SOLUTIONS CORP
BEYOND COM CORP
NETGRAVITY INC
CLICK2LEARN INC/DE/
INKTOMI CORP
MICROSTRATEGY INC
ULTIMATE SOFTWARE GROUP INC
"HACKETT GROUP, INC."
VOICEFLASH NETWORKS INC
L 3 COMMUNICATIONS HOLDINGS INC
CARREKER CORP
AXT INC
MEDISWIPE INC.
MPOWER COMMUNICATIONS CORP
VERIO INC
EVOLVING SYSTEMS INC
FACTUAL DATA CORP
GENESIS DIRECT INC
BRIO SOFTWARE INC
AMKOR TECHNOLOGY INC
ZIFF DAVIS INC
MOBIUS MANAGEMENT SYSTEMS INC
INGENUUS CORP
BROADCOM CORP
"BANNEKER, INC"
INTERNET SECURITY SYSTEMS INC/GA
GSV INC
EXDS INC
RELTEC CORP
PC CONNECTION INC
EXTENDED SYSTEMS INC
VIAGRAFIX CORP
GLOBALDIGITALCOMMERCE COM INC
DOCUCORP INTERNATIONAL INC
DOUBLECLICK INC
SYMPHONIX DEVICES INC
ICON CMT CORP
MICROMUSE INC
WORLDPAGES COM INC
CDNOW INC
1 800 CONTACTS INC
VISUAL NETWORKS INC
ARTISAN COMPONENTS INC
VERISIGN INC/CA
MERCURY SYSTEMS INC
GABRIEL TECHNOLOGIES CORP
INFORMATION ADVANTAGE INC
MADE2MANAGE SYSTEMS INC
FLEXIINTERNATIONAL SOFTWARE INC/CT
POWER INTEGRATIONS INC
USWEB CORP
IMAGEMAX INC
3DSHOPPING COM
ELECTRIC LIGHTWAVE INC
LETS TALK CELLULAR & WIRELESS INC
APPLIED MICRO CIRCUITS CORP
GAMETECH INTERNATIONAL INC
TELIGENT INC
REALNETWORKS INC
ENHERENT CORP
INTERVU INC
QUERYOBJECT SYSTEMS CORP
PREVIEW TRAVEL INC
LANDMARK SYSTEMS CORP
HYPERCOM CORP
SPORTSLINE COM INC
"DEGAMA SOFTWARE SOLUTIONS, INC."
VOICENET INC
POPMAIL COM INC
TIMIOS NATIONAL CORP
EXCEL SWITCHING CORP
POWERTRADER INC
PERICOM SEMICONDUCTOR CORP
ABOVENET INC
MMC NETWORKS INC
EAGLE BROADBAND INC
"CARDINAL COMMUNICATIONS, INC"
N2K INC
CONCORD COMMUNICATIONS INC
KOFAX IMAGE PRODUCTS INC
"IDENTIVE GROUP, INC."
LOGILITY INC
RSL COMMUNICATIONS LTD
BEST SOFTWARE INC
OSI SYSTEMS INC
OMEGA RESEARCH INC
PERVASIVE SOFTWARE INC
NETWORK SOLUTIONS INC /DE/
EDWARDS J D & CO
RENAISSANCE LEARNING INC
DOT HILL SYSTEMS CORP
NEWCOM INC
NOTIFY TECHNOLOGY CORP
AEHR TEST SYSTEMS
"CLARIENT, INC"
SYNTEL INC
FINE COM INTERNATIONAL CORP /WA/
GLOBECOMM SYSTEMS INC
OMTOOL LTD
PEGASUS SOLUTIONS INC
QAD INC
OCULAR SCIENCES INC /DE/
VESTCOM INTERNATIONAL INC
NETBANK INC
ONSTREAM MEDIA CORP
UPC POLSKA LLC
CORSAIR COMMUNICATIONS INC
INFORMATION MGMT AS W/D/B
CHOICEPOINT INC
GALILEO INTERNATIONAL INC
AT HOME CORP
INX INC
8X8 INC /DE/
IRON MOUNTAIN INC
PERITUS SOFTWARE SERVICES INC
MERCATOR SOFTWARE INC
3DFX INTERACTIVE INC
QWEST COMMUNICATIONS INTERNATIONAL INC
GREAT PLAINS SOFTWARE INC
SIMULATIONS PLUS INC
NEW ERA OF NETWORKS INC
"STARTEK, INC."
INTEST CORP
IRIDIUM WORLD COMMUNICATIONS LTD
MYTURN COM INC
EFAX COM INC
STAR TELECOMMUNICATIONS INC
IWL COMMUNICATIONS INC
HTE INC
RF MICRO DEVICES INC
CONCERO INC
ESHARE COMMUNICATIONS INC
NETSPEAK CORP
NEI WEBWORLD INC
"SG BLOCKS, INC."
BLUEFLY INC
AMAZON COM INC
RAMBUS INC
SIERRACITIES COM INC
"GLOBAL MATRECHS, INC."
ALL COMMUNICATIONS CORP/NJ
INTERNATIONAL COMPUTEX INC
GO2NET INC
DUNN COMPUTER CORP
EGGHEAD COM INC/DE
BEA SYSTEMS INC
24HOLDINGS INC
ACCELGRAPHICS INC
PEREGRINE SYSTEMS INC
SPIGADORO INC
NETCRUISE COM INC
KONTRON MOBILE COMPUTING INC
NEOMAGIC CORP
TOTAL CONTROL PRODUCTS INC
ARTECON INC /DE/
MACROVISION CORP
EURONET WORLDWIDE INC
ATL PRODUCTS INC
EMCORE CORP
AMERITRADE ONLINE HOLDINGS CORP
NACT TELECOMMUNICATIONS INC
"DELTEK, INC"
BIO KEY INTERNATIONAL INC
OVERLAND STORAGE INC
"AMEDIA NETWORKS, INC."
VIRTUAL COMMUNITIES INC/DE/
DAOU SYSTEMS INC
QUALIX GROUP INC
AESP INC
CIENA CORP
VIEWCAST COM INC
DIGITAL LIGHTWAVE INC
EPIQ SYSTEMS INC
APPIANT TECHNOLOGIES INC
CAREDATA COM INC
TEMPLATE SOFTWARE INC
"WI-TRON, INC."
EARTHLINK NETWORK INC
"EF JOHNSON TECHNOLOGIES, INC."
