,IPO name,Offer date,SIC,Ticker,Unit,Offer price,S1Link
13,Roku Inc,20170928,4841,ROKU,1,14.0,"<a href = ""https://www.sec.gov/Archives/edgar/data/1428439/0001193125-17-275689-index.htm"">sec</a><br>
"
14,Despegar.com Corp,20170920,4724,DESP,1,26.0,
15,Redfin Corp,20170728,6531,RDFN,1,15.0,"<a href = ""https://www.sec.gov/Archives/edgar/data/1382821/0001628280-18-009245-index.htm"">sec</a><br>
"
16,Tintri Inc,20170630,7375,TNTR,1,7.0,"<a href = ""https://www.sec.gov/Archives/edgar/data/1554875/0001193125-17-191336-index.htm"">sec</a><br>
"
17,Blue Apron Holdings Inc,20170629,5961,APRN,1,10.0,"<a href = ""https://www.sec.gov/Archives/edgar/data/1701114/0001047469-17-003765-index.htm"">sec</a><br>
"
18,Carvana Co,20170428,5511,CVNA,1,15.0,"<a href = ""https://www.sec.gov/Archives/edgar/data/1690820/0001193125-18-126767-index.htm"">sec</a><br>
"
19,Netshoes (Cayman) Ltd,20170412,5961,NETS,1,18.0,
20,Presidio Inc,20170310,7376,PSDO,1,14.0,"<a href = ""https://www.sec.gov/Archives/edgar/data/1631825/0001193125-17-342547-index.htm"">sec</a><br>
"
21,Snap Inc,20170302,7372,SNAP,1,17.0,"<a href = ""https://www.sec.gov/Archives/edgar/data/1564408/0001193125-17-029199-index.htm"">sec</a><br>
"
22,Quantenna Communications Inc,20161028,7375,QTNA,1,16.0,"<a href = ""https://www.sec.gov/Archives/edgar/data/1370702/0001370702-16-000019-index.htm"">sec</a><br>
"
23,Tabula Rasa HealthCare Inc,20160929,8059,TRHC,1,12.0,
24,The Trade Desk Inc,20160921,8742,TTD,1,18.0,"<a href = ""https://www.sec.gov/Archives/edgar/data/1671933/0001193125-17-176843-index.htm"">sec</a><br>
"
25,Acacia Communications Inc,20160513,3674,ACIA,1,23.0,
26,SecureWorks Corp,20160422,7379,SCWX,1,14.0,"<a href = ""https://www.sec.gov/Archives/edgar/data/1468666/0001193125-15-406345-index.htm"">sec</a><br>
"
27,BATS Global Markets Inc,20160415,6211,BATS,1,19.0,
28,Match Group Inc,20151119,7389,MTCH,1,12.0,
29,Mimecast Ltd,20151119,7372,MIME,1,10.0,
30,Square Inc,20151119,7372,SQ,1,9.0,
31,Instructure Inc,20151113,7372,INST,1,16.0,"<a href = ""https://www.sec.gov/Archives/edgar/data/1355754/0001193125-15-341090-index.htm"">sec</a><br>
"
32,Rapid7 Inc,20150717,7372,RPD,1,16.0,"<a href = ""https://www.sec.gov/Archives/edgar/data/1560327/0001193125-15-220243-index.htm"">sec</a><br>
"
33,Xactly Corp,20150626,7372,XTLY,1,8.0,"<a href = ""https://www.sec.gov/Archives/edgar/data/1322554/0001193125-15-192625-index.htm"">sec</a><br>
"
34,TransUnion,20150625,7372,TRU,1,22.5,"<a href = ""https://www.sec.gov/Archives/edgar/data/1552033/0001193125-15-112386-index.htm"">sec</a><br>
"
35,MINDBODY Inc,20150619,7374,MB,1,14.0,
36,Shopify Inc,20150521,7372,SHOP,1,17.0,
37,Virtu Financial Inc,20150416,6289,VIRT,1,19.0,
38,Etsy Inc,20150416,5961,ETSY,1,16.0,"<a href = ""https://www.sec.gov/Archives/edgar/data/1370637/0001193125-15-077045-index.htm"">sec</a><br>
"
39,GoDaddy Inc,20150401,7375,GDDY,1,20.0,"<a href = ""https://www.sec.gov/Archives/edgar/data/1609711/0001609711-15-000032-index.htm"">sec</a><br>
"
40,Box Inc,20150123,7372,BOX,1,14.0,"<a href = ""https://www.sec.gov/Archives/edgar/data/1372612/0001193125-14-112417-index.htm"">sec</a><br>
"
41,On Deck Capital Inc,20141217,6159,ONDK,1,20.0,"<a href = ""https://www.sec.gov/Archives/edgar/data/1420811/0001193125-14-405349-index.htm"">sec</a><br>
"
42,Connecture Inc,20141212,7372,CNXR,1,8.0,"<a href = ""https://www.sec.gov/Archives/edgar/data/1211759/0001193125-14-376424-index.htm"">sec</a><br>
"
43,LendingClub Corp,20141211,6159,LC,1,15.0,"<a href = ""https://www.sec.gov/Archives/edgar/data/1409970/0001193125-14-323136-index.htm"">sec</a><br>
"
44,Cnova NV,20141120,5961,CNV,1,7.0,
45,Atento SA,20141002,4813,ATTO,1,15.0,
46,Wayfair Inc,20141002,5961,W,1,29.0,"<a href = ""https://www.sec.gov/Archives/edgar/data/1702780/0001047469-18-000085-index.htm"">sec</a><br>
"
47,CyberArk Software Ltd,20140924,7372,CYBR,1,16.0,
48,TrueCar Inc,20140516,7375,True,1,9.0,
49,Zendesk Inc,20140515,7372,ZEN,1,9.0,
50,GrubHub Inc,20140404,7375,GRUB,1,26.0,
51,Aerohive Networks,20140328,3577,HIVE,1,10.0,
52,"2U, Inc",20140328,7372,TWOU,1,13.0,
53,Everyday Health,20140328,7389,EVDY,1,14.0,
54,King Digital Entertainment plc,20140326,7372,KING,1,22.5,
55,Borderfree Inc,20140321,7389,BRDR,1,16.0,
56,Coupons.com Inc,20140306,7389,COUP,1,16.0,
57,Autohome Inc,20131210,7374,ATHM,1,17.0,
58,500.com Ltd,20131122,7990,WBAI,1,13.0,
59,Zulily,20131115,5961,ZU,1,20.0,
60,Chegg,20131113,8200,CHGG,1,12.5,
61,Twitter,20131107,7370,TWTR,1,26.0,
62,Wix.com Ltd,20131106,7370,WIX,1,16.5,
63,Qunar Cayman Islands Ltd,20131101,7389,QUNR,1,15.0,
64,58.com,20131031,7370,WUBA,1,17.0,
65,Endurance Interntl Group Hold,20131025,7372,EIGI,1,12.0,
66,Veeva Systems,20131016,7372,VEEV,1,20.0,
67,RingCentral,20130927,7374,RNG,1,13.0,
68,Rocket Fuel Inc,20130919,7319,FUEL,1,29.0,
69,FireEye Inc,20130919,7372,FEYE,1,20.0,
70,RetailMeNot Inc,20130718,7375,SALE,1,21.0,
71,CDW Corp,20130626,5734,CDW,1,17.0,
72,Gogo Inc,20130620,4899,GOGO,1,17.0,
73,LightInTheBox Hldg Co Ltd,20130605,5999,LITB,1,9.5,
